disease,symptom
Tonsillitis,Headache
Tonsillitis,Drooling due to difficult or painful swallowing
Tonsillitis,Refusal to eat
Tonsillitis,Unusual fussiness
Tooth abscess,"Severe, persistent, throbbing toothache that can radiate to the jawbone, neck or ear"
Tooth abscess,Sensitivity to hot and cold temperatures
Tooth abscess,Sensitivity to the pressure of chewing or biting
Tooth abscess,Fever
Tooth abscess,Swelling in your face or cheek
Tooth abscess,"Tender, swollen lymph nodes under your jaw or in your neck"
Tooth abscess,"Sudden rush of foul-smelling and foul-tasting, salty fluid in your mouth and pain relief, if the abscess ruptures"
Tooth abscess,Difficulty breathing or swallowing
Tourette syndrome,"Simple tics. These sudden, brief and repetitive tics involve a limited number of muscle groups."
Tourette syndrome,"Complex tics. These distinct, coordinated patterns of movements involve several muscle groups."
Tourette syndrome,"Vary in type, frequency and severity"
Tourette syndrome,"Worsen if you're ill, stressed, anxious, tired or excited"
Tourette syndrome,Occur during sleep
Tourette syndrome,Change over time
Tourette syndrome,Worsen in the early teenage years and improve during the transition into adulthood
Toxic shock syndrome,A sudden high fever
Toxic shock syndrome,Low blood pressure
Toxic shock syndrome,Vomiting or diarrhea
Toxic shock syndrome,"A rash resembling a sunburn, particularly on your palms and soles"
Toxic shock syndrome,Confusion
Toxic shock syndrome,Muscle aches
Toxic shock syndrome,"Redness of your eyes, mouth and throat"
Toxic shock syndrome,Seizures
Toxic shock syndrome,Headaches
Toxoplasmosis,Body aches
Toxoplasmosis,Swollen lymph nodes
Toxoplasmosis,Headache
Toxoplasmosis,Fever
Toxoplasmosis,Fatigue
Trachoma,Mild itching and irritation of the eyes and eyelids
Trachoma,Eye discharge containing mucus or pus
Trachoma,Eyelid swelling
Trachoma,Light sensitivity (photophobia)
Trachoma,Eye pain
Trachoma,Eye redness
Trachoma,Vision loss
Trachoma,"Inflammation — follicular. The early infection has five or more follicles — small bumps that contain lymphocytes, a type of white blood cell — visible with magnification on the inner surface of your upper eyelid (conjunctiva)."
Trachoma,"Inflammation — intense. In this stage, your eye is now highly infectious and becomes irritated, with a thickening or swelling of the upper eyelid."
Trachoma,Eyelid scarring. Repeated infections lead to scarring of the inner eyelid. The scars often appear as white lines when examined with magnification. Your eyelid may become distorted and may turn in (entropion).
Trachoma,"In-turned eyelashes (trichiasis). The scarred inner lining of your eyelid continues to deform, causing your lashes to turn in so that they rub on and scratch the transparent outer surface of your eye (cornea)."
Trachoma,Corneal clouding (opacity). The cornea becomes affected by an inflammation that is most commonly seen under your upper lid. Continuous inflammation compounded by scratching from the in-turned lashes leads to clouding of the cornea.
Transposition of the great arteries,Blue color of the skin (cyanosis)
Transposition of the great arteries,Shortness of breath
Transposition of the great arteries,Lack of appetite
Transposition of the great arteries,Poor weight gain
Traumatic brain injury,Headache
Traumatic brain injury,Nausea or vomiting
Traumatic brain injury,Fatigue or drowsiness
Traumatic brain injury,Problems with speech
Traumatic brain injury,Dizziness or loss of balance
Trichinosis,Diarrhea
Trichinosis,Abdominal pain
Trichinosis,Fatigue
Trichinosis,Nausea and vomiting
Trichomoniasis,"An often foul-smelling vaginal discharge — which might be white, gray, yellow or green"
Trichomoniasis,"Genital redness, burning and itching"
Trichomoniasis,Pain with urination or sexual intercourse
Trichomoniasis,Irritation inside the penis
Trichomoniasis,Burning with urination or after ejaculation
Trichomoniasis,Discharge from the penis
Tricuspid atresia,Blue tinge to the skin and lips (cyanosis)
Tricuspid atresia,Difficulty breathing
Tricuspid atresia,"Tiring easily, especially during feedings"
Tricuspid atresia,Slow growth and poor weight gain
Tricuspid atresia,Fatigue and weakness
Tricuspid atresia,Shortness of breath
Tricuspid atresia,"Swelling (edema) in the legs, ankles and feet"
Tricuspid atresia,Swelling of the abdomen (ascites)
Tricuspid atresia,Sudden weight gain from fluid retention
Tricuspid valve regurgitation,Fatigue
Tricuspid valve regurgitation,Declining exercise capacity
Tricuspid valve regurgitation,"Swelling in your abdomen, legs or veins in your neck"
Tricuspid valve regurgitation,Abnormal heart rhythms
Tricuspid valve regurgitation,Pulsing in your neck
Tricuspid valve regurgitation,Shortness of breath with activity
Truncus arteriosus,Blue coloring of the skin
Truncus arteriosus,Poor feeding
Truncus arteriosus,Pounding heart
Truncus arteriosus,Excessive sleepiness
Truncus arteriosus,Poor growth
Truncus arteriosus,Shortness of breath
Truncus arteriosus,Rapid breathing
Tuberous sclerosis,"Skin abnormalities. Most people with tuberous sclerosis have patches of light-colored skin, or they may develop small, harmless areas of thickened, smooth skin or reddish bumps under or around the nails. Facial growths that begin in childhood and resemble acne also are common."
Tuberous sclerosis,"Seizures. Growths in the brain may be associated with seizures, which can be the first symptom of tuberous sclerosis. In small children, a common type of seizure called infantile spasm shows up as repetitive spasms of the head and legs."
Tuberous sclerosis,"Cognitive disabilities. Tuberous sclerosis can be associated with developmental delays and sometimes intellectual disability or learning disabilities. Mental health disorders, such as autism spectrum disorder or attention-deficit/hyperactivity disorder (ADHD), also can occur."
Tuberous sclerosis,"Behavioral problems. Common behavioral problems may include hyperactivity, self-injury or aggression, or issues with social and emotional adjustment."
Tuberous sclerosis,"Kidney problems. Most people with tuberous sclerosis develop noncancerous growths on their kidneys, and they may develop more growths as they age."
Tuberous sclerosis,"Heart issues. Growths in the heart, if present, are usually largest at birth and shrink as the child gets older."
Tuberous sclerosis,"Lung problems. Growths that develop in the lungs may cause coughing or shortness of breath, especially with physical activity or exercise. These benign lung tumors occur more often in women than in men."
Tuberous sclerosis,Eye abnormalities. Growths can appear as white patches on the light-sensitive tissue at the back of the eye (retina). These noncancerous growths don't always interfere with vision.
Turner syndrome,Large fluid collection on the back of the neck or other abnormal fluid collections (edema)
Turner syndrome,Heart abnormalities
Turner syndrome,Abnormal kidneys
Typhoid fever,"Fever that starts low and increases daily, possibly reaching as high as 104.9 F (40.5 C)"
Typhoid fever,Headache
Typhoid fever,Weakness and fatigue
Typhoid fever,Muscle aches
Typhoid fever,Sweating
Typhoid fever,Dry cough
Typhoid fever,Loss of appetite and weight loss
Typhoid fever,Stomach pain
Typhoid fever,Diarrhea or constipation
Typhoid fever,Rash
Typhoid fever,Extremely swollen stomach
Ureteral cancer,Blood in urine
Ureteral cancer,Back pain
Ureteral cancer,Pain when urinating
Ureteral cancer,Losing weight without trying
Ureteral cancer,Fatigue
Urinary tract infection (UTI),"A strong, persistent urge to urinate"
Urinary tract infection (UTI),A burning sensation when urinating
Urinary tract infection (UTI),"Passing frequent, small amounts of urine"
Urinary tract infection (UTI),Urine that appears cloudy
Urinary tract infection (UTI),"Urine that appears red, bright pink or cola-colored — a sign of blood in the urine"
Urinary tract infection (UTI),Strong-smelling urine
Urinary tract infection (UTI),"Pelvic pain, in women — especially in the center of the pelvis and around the area of the pubic bone"
Urine color,"Visible blood in your urine. Bloody urine is common in urinary tract infections and kidney stones. These problems usually cause pain. Painless bleeding might signal a more-serious problem, such as cancer."
Urine color,Dark or orange urine. If your urine is dark or orange — particularly if you also have pale stools and yellow skin and eyes — your liver might be malfunctioning.
Varicose veins,Veins that are dark purple or blue in color
Varicose veins,Veins that appear twisted and bulging; they are often like cords on your legs
Varicose veins,An achy or heavy feeling in your legs
Varicose veins,"Burning, throbbing, muscle cramping and swelling in your lower legs"
Varicose veins,Worsened pain after sitting or standing for a long time
Varicose veins,Itching around one or more of your veins
Varicose veins,Skin discoloration around a varicose vein
Ventricular fibrillation,Chest pain
Ventricular fibrillation,Very fast heartbeat (tachycardia)
Ventricular fibrillation,Dizziness
Ventricular fibrillation,Nausea
Ventricular fibrillation,Shortness of breath
Ventricular tachycardia,Dizziness
Ventricular tachycardia,Shortness of breath
